高校名称,专业,x轴,y轴,
山东大学,一般化学,610,4.744 
山东大学,纺织和造纸,153,2.000 
山东大学,印刷、涂料、照相,58,2.000 
山东大学,石油,168,2.000 
山东大学,化学工程,535,2.000 
山东大学,核子能、爆破、防护,10,2.000 
山东大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,557,4.705 
山东大学,冶金,326,2.000 
山东大学,催化剂,129,2.000 
山东大学,其他,1399,2.000 
山东大学,机械工程,1767,2.000 
山东大学,仪器、测量和测试,2015,4.345 
山东大学,计算机和控制,2140,4.698 
山东大学,半导体和电路,494,4.042 
山东大学,电子元件,685,4.498 
山东大学,通讯,808,4.988 
山东大学,电力工程,1495,4.678 
四川大学,聚合物、塑料,2232,4.438 
四川大学,药物,1547,3.523 
四川大学,农药,198,2.000 
四川大学,食品、洗涤剂、水处理、生物技术,1609,3.944 
四川大学,一般化学,769,2.000 
四川大学,纺织和造纸,244,2.000 
四川大学,印刷、涂料、照相,179,2.000 
四川大学,石油,109,3.011 
四川大学,化学工程,547,2.000 
四川大学,核子能、爆破、防护,53,2.000 
四川大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,444,4.439 
四川大学,冶金,318,2.000 
四川大学,催化剂,229,2.000 
四川大学,其他,2223,2.000 
四川大学,机械工程,1027,2.000 
四川大学,仪器、测量和测试,1765,5.039 
四川大学,计算机和控制,1789,5.073 
四川大学,半导体和电路,341,2.000 
四川大学,电子元件,445,4.465 
四川大学,通讯,602,2.000 
四川大学,电力工程,948,2.000 
北京工商大学,聚合物、塑料,203,2.000 
北京工商大学,药物,120,2.000 
北京工商大学,农药,27,2.000 
北京工商大学,食品、洗涤剂、水处理、生物技术,291,2.000 
北京工商大学,一般化学,115,2.000 
北京工商大学,纺织和造纸,10,2.000 
北京工商大学,印刷、涂料、照相,11,2.000 
北京工商大学,石油,12,2.000 
北京工商大学,化学工程,62,2.000 
北京工商大学,核子能、爆破、防护,0,-2.000 
北京工商大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,26,2.000 
北京工商大学,冶金,13,2.000 
北京工商大学,催化剂,26,2.000 
北京工商大学,其他,84,2.000 
北京工商大学,机械工程,41,2.000 
北京工商大学,仪器、测量和测试,113,2.000 
北京工商大学,计算机和控制,233,2.000 
北京工商大学,半导体和电路,17,2.000 
北京工商大学,电子元件,17,2.000 
北京工商大学,通讯,49,2.000 
北京工商大学,电力工程,39,2.000 
北京航空航天大学,聚合物、塑料,578,4.728 
北京航空航天大学,药物,74,3.756 
北京航空航天大学,农药,9,2.000 
北京航空航天大学,食品、洗涤剂、水处理、生物技术,126,4.057 
北京航空航天大学,一般化学,107,2.000 
北京航空航天大学,纺织和造纸,60,2.000 
北京航空航天大学,印刷、涂料、照相,38,2.000 
北京航空航天大学,石油,22,2.000 
北京航空航天大学,化学工程,94,2.000 
北京航空航天大学,核子能、爆破、防护,19,2.000 
北京航空航天大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,289,4.057 
北京航空航天大学,冶金,306,3.738 
北京航空航天大学,催化剂,13,2.000 
北京航空航天大学,其他,763,4.952 
北京航空航天大学,机械工程,994,5.017 
北京航空航天大学,仪器、测量和测试,1939,4.811 
北京航空航天大学,计算机和控制,4173,4.643 
北京航空航天大学,半导体和电路,414,4.276 
北京航空航天大学,电子元件,642,4.444 
北京航空航天大学,通讯,1609,4.756 
北京航空航天大学,电力工程,705,2.000 
北京化工大学,聚合物、塑料,1879,4.047 
北京化工大学,药物,311,2.000 
北京化工大学,农药,22,2.000 
北京化工大学,食品、洗涤剂、水处理、生物技术,588,2.000 
北京化工大学,一般化学,893,4.406 
北京化工大学,纺织和造纸,259,3.502 
北京化工大学,印刷、涂料、照相,232,4.393 
北京化工大学,石油,153,3.949 
北京化工大学,化学工程,653,4.787 
北京化工大学,核子能、爆破、防护,6,2.000 
北京化工大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,400,4.698 
北京化工大学,冶金,114,2.000 
北京化工大学,催化剂,265,2.000 
北京化工大学,其他,241,2.000 
北京化工大学,机械工程,202,4.346 
北京化工大学,仪器、测量和测试,342,2.000 
北京化工大学,计算机和控制,264,2.000 
北京化工大学,半导体和电路,88,2.000 
北京化工大学,电子元件,123,2.000 
北京化工大学,通讯,55,2.000 
北京化工大学,电力工程,462,4.741 
北京林业大学,聚合物、塑料,467,2.000 
北京林业大学,药物,127,2.000 
北京林业大学,农药,183,2.000 
北京林业大学,食品、洗涤剂、水处理、生物技术,482,2.000 
北京林业大学,一般化学,149,2.000 
北京林业大学,纺织和造纸,103,2.000 
北京林业大学,印刷、涂料、照相,81,2.000 
北京林业大学,石油,45,2.000 
北京林业大学,化学工程,158,2.000 
北京林业大学,核子能、爆破、防护,0,2.000 
北京林业大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,27,2.000 
北京林业大学,冶金,2,2.000 
北京林业大学,催化剂,45,2.000 
北京林业大学,其他,514,2.000 
北京林业大学,机械工程,205,2.000 
北京林业大学,仪器、测量和测试,425,2.000 
北京林业大学,计算机和控制,352,2.000 
北京林业大学,半导体和电路,14,2.000 
北京林业大学,电子元件,35,2.000 
北京林业大学,通讯,88,2.000 
北京林业大学,电力工程,70,2.000 
北京师范大学,聚合物、塑料,199,3.789 
北京师范大学,药物,172,2.000 
北京师范大学,农药,27,2.000 
北京师范大学,食品、洗涤剂、水处理、生物技术,270,2.000 
北京师范大学,一般化学,195,2.000 
北京师范大学,纺织和造纸,11,2.000 
北京师范大学,印刷、涂料、照相,32,2.000 
北京师范大学,石油,7,2.000 
北京师范大学,化学工程,135,2.000 
北京师范大学,核子能、爆破、防护,16,3.079 
北京师范大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,112,2.000 
北京师范大学,冶金,59,2.000 
北京师范大学,催化剂,35,2.000 
北京师范大学,其他,111,2.000 
北京师范大学,机械工程,40,2.000 
北京师范大学,仪器、测量和测试,361,2.000 
北京师范大学,计算机和控制,403,2.000 
北京师范大学,半导体和电路,44,2.000 
北京师范大学,电子元件,63,3.312 
北京师范大学,通讯,95,2.000 
北京师范大学,电力工程,111,2.000 
北京体育大学,聚合物、塑料,6,-2.000 
北京体育大学,药物,4,2.000 
北京体育大学,农药,0,-2.000 
北京体育大学,食品、洗涤剂、水处理、生物技术,3,2.000 
